metric,period,value,unit,source,interview_highlight
uploaded_documents,2026-Q2,128,files,workspace_demo,展示知识库资料规模
text_documents,2026-Q2,74,files,document_repository,展示文本解析能力
table_documents,2026-Q2,36,files,table_parser,展示表格解析和行范围引用
image_documents,2026-Q2,18,files,ocr_parser,展示图片元数据和 mock OCR
chunk_count,2026-Q2,942,chunks,rag_pipeline,展示文档分块与索引
retrieval_hit_rate,2026-Q2,86.5,percent,rag_retriever,展示 RAG 检索效果
average_chat_latency,2026-Q2,420,ms,trace_recorder,展示 Trace 延迟观测
tool_call_success_rate,2026-Q2,97.2,percent,tool_registry,展示工具调用稳定性
generated_reports,2026-Q2,43,reports,generate_report_tool,展示报告生成能力
memory_write_events,2026-Q2,215,events,memory_service,展示会话和用户记忆
trace_records,2026-Q2,389,traces,trace_repository,展示 Agent 过程可观测
demo_satisfaction,2026-Q2,4.7,score,interview_feedback,展示面试演示体验

